OID_,POU_INDEX,POU_ID,IDU_ID,IDU_WW2100,WRIS_ID,AREA_POU,PERCENT_POU,AREA_IDU,PERCENT_IDU,USECODE,PERMITCODE,XCOORD,YCOORD,CERTIFICATE
736,736,127085,39631,39631,1920,26.262175682218100,100.000000000000000,38795.110010475298623,0.067694551388376,2048,-99,552444.805800000205636,4889297.546099999919534,-99
737,737,127099,39925,39925,1934,26.262632428312099,100.000000000000000,25493.085631999900215,0.103018649085563,2048,-99,556348.492899999953806,4889695.366299999877810,-99
738,738,75036,31103,31103,90135,3785.926692170440219,98.593616015755558,147311.557422740006587,2.533869094062214,16,2,516824.493099999614060,4877994.922700000926852,-99
739,739,83976,31737,31737,97701,35419739.312808699905872,0.128302050878363,92213.135438384895679,49.281755509190447,1024,4,503045.536700000055134,4878485.315799999982119,-99
740,740,83976,31748,31748,97701,35419739.312808699905872,0.077847786463747,27573.483026251200499,100.000000000000000,1024,4,503607.319500000216067,4878581.428999999538064,-99
741,741,83976,31837,31837,97701,35419739.312808699905872,1.013920006855477,404164.629219773982186,88.856816580388539,1024,4,502886.206600000150502,4878156.357300000265241,-99
742,742,83976,32250,32250,97701,35419739.312808699905872,0.045689800670471,115925.349323343994911,13.960025468531301,1024,4,502528.041199999861419,4879107.571799999102950,-99
743,743,83976,33295,33295,97701,35419739.312808699905872,0.026420509269294,43255.449169453000650,21.634443030842306,1024,4,499030.003600000403821,4880528.393400000408292,-99
744,744,71739,40147,40147,87302,14718.675989357399885,7.844339793130997,144529.884930227010045,0.798854131941338,16,2,564753.017400000244379,4889928.571900000795722,-99
745,745,71739,40206,40206,87302,14718.675989357399885,92.155657949761633,340356.468757983995602,3.985260732367884,16,2,564605.112200000323355,4890120.686899999156594,-99
746,746,73088,33252,33252,88471,8669.598736076259229,5.486433180050169,103781.891014149005059,0.458318630529145,16,4,511165.223299999721348,4880332.458300000056624,-99
747,747,73088,33327,33327,88471,8669.598736076259229,94.513601204438316,317449.412606095022056,2.581182906647097,16,4,510828.405299999751151,4880414.630699999630451,-99
748,748,71339,37873,37873,86961,9442.998994249779571,84.732133696591674,150265.931532874994446,5.324729598488547,16,4,506857.366600000299513,4886331.810799999162555,-99
749,749,79506,32308,32308,93932,41360.400581547801266,32.417908185547212,47729.772627877697232,28.091851160148494,16,4,499731.341300000436604,4879371.003599999472499,-99
750,750,79506,32337,32337,93932,41360.400581547801266,64.684780579105080,26896.027297720698698,99.471509552938159,16,4,499608.427400000393391,4879492.551100000739098,-99
751,751,77163,38215,38215,91939,7329.448318609170201,97.803271763473290,76175.948115031802445,9.410372217471753,16,2,532274.017799999564886,4887482.715900000184774,-99
752,752,71741,41608,41608,87304,152745.969593234010972,23.960045873352808,45418.136655125599646,80.580153831797901,16,2,562948.598199999891222,4892344.129799999296665,-99
753,753,71741,41613,41613,87304,152745.969593234010972,25.347439273282014,48702.878618314898631,79.496721720409880,16,2,562509.804499999620020,4892257.210899999365211,-99
754,754,75263,32657,32657,90328,4954.541817879719929,29.280181325206613,35941.607183993502986,4.036265881717262,16,2,519506.575600000098348,4880133.320699999108911,-99
755,755,83448,32453,32453,97240,9032.733144252690181,6.957180538252364,74433.040126434105332,0.844280377795614,16,2,519854.643199999816716,4879509.080399999395013,-99
756,756,83448,32457,32457,97240,9032.733144252690181,0.124769814570179,65807.741811557003530,0.017125833654915,16,2,519820.595599999651313,4879744.805400000885129,-99
757,757,83448,32493,32493,97240,9032.733144252690181,53.832458785550507,30548.343069002799893,15.917532208228272,16,2,520102.717299999669194,4879895.154600000008941,-99
758,758,80163,29989,29989,94482,16390441.661430299282074,0.348331978270132,116409.533825368998805,49.045080596336653,1024,4,508207.528500000014901,4876312.992499999701977,-99
759,759,80163,30088,30088,94482,16390441.661430299282074,1.895038322279213,807164.470242568990216,38.481023648325227,1024,4,508069.618499999865890,4875847.453299999237061,-99
760,760,80163,30154,30154,94482,16390441.661430299282074,1.725305636816439,707966.809892070014030,39.943286879066804,1024,4,506663.381000000052154,4876417.686599999666214,-99
761,761,80163,30185,30185,94482,16390441.661430299282074,0.485678226632965,79604.806398545406410,100.000000000000000,1024,4,506064.339999999850988,4876715.960699999704957,-99
762,762,80163,30200,30200,94482,16390441.661430299282074,0.836712456857502,137140.867115149012534,100.000000000000000,1024,4,506726.484199999831617,4876687.497999999672174,-99
763,763,80163,30356,30356,94482,16390441.661430299282074,0.125563713478375,20580.447205598498840,100.000000000000000,1024,4,508315.061400000005960,4876784.576999999582767,-99
764,764,80163,30358,30358,94482,16390441.661430299282074,0.310062760908751,50820.655940568998631,100.000000000000000,1024,4,505788.563099999912083,4876831.548800000920892,-99
765,765,80163,30719,30719,94482,16390441.661430299282074,2.315603038815941,419475.648510773025919,90.479046050675976,1024,4,507401.370299999602139,4876495.316400000825524,-99
766,766,80163,30723,30723,94482,16390441.661430299282074,0.500148019950511,90802.832362015600665,90.279639190065041,1024,4,508515.399600000120699,4876892.530099999159575,-99
767,767,80163,30726,30726,94482,16390441.661430299282074,0.412643291693473,67634.057994824295747,100.000000000000000,1024,4,505197.325100000016391,4876948.148000000044703,-99
768,768,80163,30731,30731,94482,16390441.661430299282074,0.212960975965329,34905.244527209899388,100.000000000000000,1024,4,505672.003399999812245,4877028.117499999701977,-99
769,769,80163,30735,30735,94482,16390441.661430299282074,0.680576897890516,111549.559409916997538,100.000000000000000,1024,4,503789.235100000165403,4876957.234200000762939,-99
770,770,80163,30743,30743,94482,16390441.661430299282074,0.447026973172808,73269.695248746793368,100.000000000000000,1024,4,504445.209499999880791,4877020.940799999982119,-99
771,771,80163,30748,30748,94482,16390441.661430299282074,1.082029211856941,177349.366729046014370,100.000000000000000,1024,4,507162.018199999816716,4877024.295900000259280,-99
772,772,80163,30751,30751,94482,16390441.661430299282074,1.370115812775928,224568.032987070007948,100.000000000000000,1024,4,506483.294300000183284,4876994.896700000390410,-99
773,773,80163,30759,30759,94482,16390441.661430299282074,0.548534373625180,89907.206501927299541,100.000000000000000,1024,4,508081.070500000379980,4877044.006500000134110,-99
774,774,80163,30760,30760,94482,16390441.661430299282074,0.243344441202351,39885.228671604898409,100.000000000000000,1024,4,508295.273099999874830,4877085.942900000140071,-99
775,775,80163,30771,30771,94482,16390441.661430299282074,0.146609692503433,24029.976119777598797,100.000000000000000,1024,4,505416.370000000111759,4877197.222300000488758,-99
776,776,80163,30783,30783,94482,16390441.661430299282074,0.347271560988054,56919.342610485400655,100.000000000000000,1024,4,506195.478500000201166,4877243.614499999210238,-99
777,777,80163,30799,30799,94482,16390441.661430299282074,0.379512035820300,62203.698829232700518,100.000000000000000,1024,4,504805.132899999618530,4877265.518899999558926,-99
778,778,80163,30802,30802,94482,16390441.661430299282074,0.859985509154106,140955.423174658004427,100.000000000000000,1024,4,505726.261900000274181,4877267.503499999642372,-99
779,779,80163,30815,30815,94482,16390441.661430299282074,0.727936603813874,119312.024380310002016,100.000000000000000,1024,4,503750.036999999545515,4877254.644099999219179,-99
780,780,80163,30821,30821,94482,16390441.661430299282074,0.759247627518821,136190.741315830993699,91.374816123275238,1024,4,508608.262500000186265,4877151.391200000420213,-99
781,781,80163,30823,30823,94482,16390441.661430299282074,0.805509194013048,132026.514522165991366,100.000000000000000,1024,4,507702.347900000400841,4877129.643999999389052,-99
782,782,80163,30824,30824,94482,16390441.661430299282074,0.410786384500881,67329.702704715702566,100.000000000000000,1024,4,504440.249200000427663,4877382.895800000056624,-99
783,783,80163,31199,31199,94482,16390441.661430299282074,1.705002834045946,279457.494840033992659,100.000000000000000,1024,4,505690.981399999931455,4877469.801500000059605,-99
784,784,80163,31214,31214,94482,16390441.661430299282074,7.234433113697962,1381062.201894809957594,85.858228355609896,1024,4,505084.127000000327826,4876609.443499999120831,-99
785,785,80163,31219,31219,94482,16390441.661430299282074,0.124088546349678,20338.660797960899799,100.000000000000000,1024,4,504375.108699999749660,4877714.644600000232458,-99
786,786,80163,31223,31223,94482,16390441.661430299282074,3.412484199511694,564357.233611040981486,99.107657103581886,1024,4,503993.241299999877810,4876698.440899999812245,-99
787,787,80163,31236,31236,94482,16390441.661430299282074,1.364309570292197,223616.364200053008972,100.000000000000000,1024,4,504994.819299999624491,4877659.387399999424815,-99
788,788,80163,31246,31246,94482,16390441.661430299282074,0.237614389712004,38946.047924909602443,100.000000000000000,1024,4,503039.203300000168383,4877767.782299999147654,-99
789,789,80163,31256,31256,94482,16390441.661430299282074,0.455435807559730,74647.940343341499101,100.000000000000000,1024,4,507282.737700000405312,4877835.937200000509620,-99
790,790,80163,31277,31277,94482,16390441.661430299282074,0.673678317170810,110418.851561586998287,100.000000000000000,1024,4,506071.622399999760091,4877880.644600000232458,-99
791,791,80163,31281,31281,94482,16390441.661430299282074,0.579346287606578,94957.415287818294019,100.000000000000000,1024,4,507377.329599999822676,4877972.664200000464916,-99
792,792,80163,31310,31310,94482,16390441.661430299282074,1.085624465012765,177938.644600131985499,100.000000000000000,1024,4,504241.584300000220537,4877909.977600000798702,-99
