t, o
0, 0.225968
0, 0.241826
0, 0.328475
0, 0.512535
0, 0.665446
0, 0.719248
0, 0.787208
0, 0.787208
0, 0.668278
0, 0.620139
0, 0.569169
0, 0.597485
0, 0.724911
0, 0.594654
0, 0.631466
0, 0.583327
0, 0.506872
0, 0.430416
0, 0.368119
0, 0.339802
0, 0.328475
0, 0.314317
0, 0.311485
0, 0.294495
0, 0.274957
0, 0.331307
0, 0.342634
0, 0.359624
0, 0.393604
0, 0.404931
0, 0.410594
0, 0.427584
0, 0.688099
0, 0.673941
0, 0.705089
0, 0.699426
0, 0.659783
0, 0.937288
0, 0.920298
0, 0.807030
0, 0.807030
0, 0.858000
0, 0.713585
0, 0.662614
0, 0.860832
0, 0.917466
0, 0.832515
0, 0.988258
0, 0.968436
0, 0.886317
0, 0.764555
0, 0.747565
0, 0.744733
0, 0.733406
0, 0.781545
0, 0.832515
0, 0.824020
0, 0.891981
0, 1.047723
0, 1.053387
0, 0.940119
0, 0.934456
0, 0.965604
0, 0.985426
0, 0.988258
0, 0.976931
0, 0.937288
0, 1.121347
0, 1.458318
0, 1.585743
0, 1.339387
0, 1.285585
0, 1.809446
0, 2.860002
0, 3.398022
0, 5.946538
0, 7.362380
0, 5.663369
0, 4.247527
0, 3.681190
0, 3.398022
0, 5.663369
0, 8.211886
0, 7.645549
0, 5.946538
0, 14.724760
0, 15.291097
0, 10.760402
0, 7.220796
0, 8.353470
0, 7.957034
0, 11.128521
0, 22.002190
0, 23.304765
0, 24.862191
0, 18.943970
0, 25.740014
0, 19.651892
0, 17.896247
0, 43.041607
0, 84.667371
0, 56.067356
0, 34.829721
0, 24.890508
0, 18.689119
0, 15.092879
0, 13.054066
0, 11.241788
0, 9.825946
0, 8.834856
0, 13.195651
0, 22.880012
0, 19.906743
0, 21.322585
0, 47.572302
0, 68.809937
0, 49.837650
0, 35.396058
0, 35.396058
0, 39.643585
0, 37.661406
0, 37.944574
0, 31.431700
0, 26.532885
0, 29.449520
0, 43.891112
0, 52.102998
0, 49.837650
0, 45.873291
0, 39.360417
0, 35.112890
0, 34.263384
0, 34.829721
0, 33.697047
0, 29.449520
0, 26.759420
0, 25.173677
0, 22.370309
0, 18.972287
0, 16.621989
0, 16.338820
0, 21.067734
0, 25.003776
0, 25.570112
0, 25.853281
0, 27.807143
0, 57.200030
0, 104.205995
0, 96.560447
0, 70.508948
0, 52.669335
0, 38.227743
0, 29.732689
0, 24.239221
0, 22.370309
0, 25.060409
0, 21.775655
0, 18.915654
0, 16.763573
0, 15.092879
0, 13.592086
0, 12.346145
0, 12.459413
0, 13.535453
0, 20.727932
0, 30.582194
0, 36.245564
0, 32.564374
0, 27.325757
0, 23.219814
0, 19.850109
0, 17.301593
0, 18.122782
0, 19.227139
0, 20.274862
0, 27.580609
0, 34.829721
0, 28.061995
0, 22.823378
0, 19.397040
0, 20.048327
0, 21.464170
0, 20.020011
0, 17.952881
0, 16.168919
0, 14.526542
0, 13.082383
0, 11.949709
0, 10.986936
0, 10.137431
0, 9.429510
0, 8.778222
0, 8.325153
0, 7.872083
0, 7.532281
0, 7.419014
0, 7.022578
0, 6.569508
0, 6.258023
0, 5.974855
0, 6.173073
0, 6.229706
0, 11.355055
0, 15.262780
0, 11.893076
0, 9.910896
0, 8.863173
0, 8.098618
0, 7.334063
0, 6.852677
0, 6.512875
0, 6.116439
0, 5.804954
0, 5.578419
0, 5.351884
0, 5.153666
0, 4.927131
0, 4.728913
0, 4.559012
0, 4.360794
0, 4.275844
0, 6.711093
0, 7.277430
0, 6.427924
0, 6.031488
0, 5.606736
0, 5.578419
0, 10.901986
0, 18.151099
0, 17.839613
0, 13.677037
0, 11.071887
0, 9.429510
0, 8.268519
0, 7.362380
0, 6.654459
0, 6.116439
0, 5.635052
0, 5.238617
0, 4.898814
0, 4.757230
0, 4.474062
0, 4.360794
0, 4.247527
0, 4.389111
0, 4.247527
0, 3.964359
0, 3.879408
0, 3.964359
0, 3.879408
0, 3.652873
0, 3.398022
0, 3.228121
0, 3.171487
0, 3.228121
0, 3.539606
0, 3.652873
0, 3.369705
0, 3.029903
0, 2.916635
0, 2.973269
0, 3.058219
0, 2.780714
0, 2.571170
0, 2.613645
0, 3.114853
0, 3.879408
0, 3.766141
0, 3.341388
0, 3.086536
0, 2.820358
0, 2.639130
0, 2.480556
0, 2.486219
0, 2.760893
0, 3.228121
0, 4.502379
0, 4.615646
0, 4.190893
0, 4.077626
0, 3.766141
0, 3.539606
0, 3.341388
0, 3.029903
0, 2.775051
0, 2.551348
0, 2.392774
0, 2.262516
0, 2.197387
0, 2.126595
0, 2.041645
0, 2.109605
0, 2.324813
0, 2.279506
0, 2.132259
0, 2.033150
0, 1.948199
0, 1.857585
0, 1.772635
0, 1.701842
0, 1.670694
0, 1.574417
0, 1.503625
0, 1.449823
0, 1.393189
0, 1.336555
0, 1.288417
0, 1.251605
0, 1.197803
0, 1.155327
0, 1.101525
0, 1.076040
0, 1.025070
0, 0.988258
0, 0.988258
0, 0.957109
0, 0.982595
0, 0.940119
0, 0.908971
0, 0.872159
0, 0.858000
0, 0.804198
0, 0.764555
0, 0.727743
0, 0.702258
0, 0.690931
0, 0.676773
0, 0.656951
0, 0.637129
0, 0.639961
0, 0.614476
