station_nbr	record_date	mean_daily_flow_cfs	published_status	estimated	revised	download_date
14171000	05-03-2013	139   	Published			09-07-2017 18:47
14171000	05-04-2013	131   	Published			09-07-2017 18:47
14171000	05-05-2013	125   	Published			09-07-2017 18:47
14171000	05-06-2013	119   	Published			09-07-2017 18:47
14171000	05-07-2013	116   	Published			09-07-2017 18:47
14171000	05-08-2013	111   	Published			09-07-2017 18:47
14171000	05-09-2013	107   	Published			09-07-2017 18:47
14171000	05-10-2013	103   	Published			09-07-2017 18:47
14171000	05-11-2013	99   	Published			09-07-2017 18:47
14171000	05-12-2013	97   	Published			09-07-2017 18:47
14171000	05-13-2013	95   	Published			09-07-2017 18:47
14171000	05-14-2013	93   	Published			09-07-2017 18:47
14171000	05-15-2013	91   	Published			09-07-2017 18:47
14171000	05-16-2013	93   	Published			09-07-2017 18:47
14171000	05-17-2013	93   	Published			09-07-2017 18:47
14171000	05-18-2013	89   	Published			09-07-2017 18:47
14171000	05-19-2013	86   	Published			09-07-2017 18:47
14171000	05-20-2013	82   	Published			09-07-2017 18:47
14171000	05-21-2013	92   	Published			09-07-2017 18:47
14171000	05-22-2013	127   	Published			09-07-2017 18:47
14171000	05-23-2013	142   	Published			09-07-2017 18:47
14171000	05-24-2013	139   	Published			09-07-2017 18:47
14171000	05-25-2013	134   	Published			09-07-2017 18:47
14171000	05-26-2013	121   	Published			09-07-2017 18:47
14171000	05-27-2013	131   	Published			09-07-2017 18:47
14171000	05-28-2013	164   	Published			09-07-2017 18:47
14171000	05-29-2013	210   	Published			09-07-2017 18:47
14171000	05-30-2013	250   	Published			09-07-2017 18:47
14171000	05-31-2013	226   	Published			09-07-2017 18:47
14171000	06-01-2013	192   	Published			09-07-2017 18:47
14171000	06-02-2013	166   	Published			09-07-2017 18:47
14171000	06-03-2013	147   	Published			09-07-2017 18:47
14171000	06-04-2013	132   	Published			09-07-2017 18:47
14171000	06-05-2013	120   	Published			09-07-2017 18:47
14171000	06-06-2013	110   	Published			09-07-2017 18:47
14171000	06-07-2013	103   	Published			09-07-2017 18:47
14171000	06-08-2013	96   	Published			09-07-2017 18:47
14171000	06-09-2013	91   	Published			09-07-2017 18:47
14171000	06-10-2013	88   	Published			09-07-2017 18:47
14171000	06-11-2013	85   	Published			09-07-2017 18:47
14171000	06-12-2013	83   	Published			09-07-2017 18:47
14171000	06-13-2013	85   	Published			09-07-2017 18:47
14171000	06-14-2013	88   	Published			09-07-2017 18:47
14171000	06-15-2013	84   	Published			09-07-2017 18:47
14171000	06-16-2013	77   	Published			09-07-2017 18:47
14171000	06-17-2013	75   	Published			09-07-2017 18:47
14171000	06-18-2013	75   	Published			09-07-2017 18:47
14171000	06-19-2013	75   	Published			09-07-2017 18:47
14171000	06-20-2013	78   	Published			09-07-2017 18:47
14171000	06-21-2013	74   	Published			09-07-2017 18:47
14171000	06-22-2013	71   	Published			09-07-2017 18:47
14171000	06-23-2013	68   	Published			09-07-2017 18:47
14171000	06-24-2013	70   	Published			09-07-2017 18:47
14171000	06-25-2013	82   	Published			09-07-2017 18:47
14171000	06-26-2013	84   	Published			09-07-2017 18:47
14171000	06-27-2013	75   	Published			09-07-2017 18:47
14171000	06-28-2013	68   	Published			09-07-2017 18:47
14171000	06-29-2013	62   	Published			09-07-2017 18:47
14171000	06-30-2013	59   	Published			09-07-2017 18:47
14171000	07-01-2013	56   	Published			09-07-2017 18:47
14171000	07-02-2013	54   	Published			09-07-2017 18:47
14171000	07-03-2013	52   	Published			09-07-2017 18:47
14171000	07-04-2013	50   	Published			09-07-2017 18:47
14171000	07-05-2013	49   	Published			09-07-2017 18:47
14171000	07-06-2013	48   	Published			09-07-2017 18:47
14171000	07-07-2013	46   	Published			09-07-2017 18:47
14171000	07-08-2013	45   	Published			09-07-2017 18:47
14171000	07-09-2013	44   	Published			09-07-2017 18:47
14171000	07-10-2013	41   	Published			09-07-2017 18:47
14171000	07-11-2013	40   	Published			09-07-2017 18:47
14171000	07-12-2013	39   	Published			09-07-2017 18:47
14171000	07-13-2013	38   	Published			09-07-2017 18:47
14171000	07-14-2013	37   	Published			09-07-2017 18:47
14171000	07-15-2013	36   	Published			09-07-2017 18:47
14171000	07-16-2013	35   	Published			09-07-2017 18:47
14171000	07-17-2013	35   	Published			09-07-2017 18:47
14171000	07-18-2013	34   	Published			09-07-2017 18:47
14171000	07-19-2013	34   	Published			09-07-2017 18:47
14171000	07-20-2013	33   	Published			09-07-2017 18:47
14171000	07-21-2013	32   	Published			09-07-2017 18:47
14171000	07-22-2013	32   	Published			09-07-2017 18:47
14171000	07-23-2013	31   	Published			09-07-2017 18:47
14171000	07-24-2013	29   	Published			09-07-2017 18:47
14171000	07-25-2013	27   	Published			09-07-2017 18:47
14171000	07-26-2013	26   	Published			09-07-2017 18:47
14171000	07-27-2013	25   	Published			09-07-2017 18:47
14171000	07-28-2013	25   	Published			09-07-2017 18:47
14171000	07-29-2013	26   	Published			09-07-2017 18:47
14171000	07-30-2013	26   	Published			09-07-2017 18:47
14171000	07-31-2013	25   	Published			09-07-2017 18:47
14171000	08-01-2013	25   	Published			09-07-2017 18:47
14171000	08-02-2013	27   	Published			09-07-2017 18:47
14171000	08-03-2013	27   	Published			09-07-2017 18:47
14171000	08-04-2013	26   	Published			09-07-2017 18:47
14171000	08-05-2013	24   	Published			09-07-2017 18:47
