obs,sim
0.033697047454,0.021294
0.0283168466,0.021006
0.024918825008,0.020731
0.023502982678,0.020571
0.024918825008,0.020321
0.037944574444,0.020177
0.04813863922,0.019946
0.043324775298,0.019815
0.041625764502,0.019601
0.047572302288,0.026184
0.043607943764,0.026521
0.44457449162,0.027673
0.11185154407,0.042879
0.072774295762,0.041763
0.05521785087,0.036655
0.052669334676,0.031697
0.04672279689,0.027816
0.043041606832,0.024795
0.040776259104,0.022548
0.037661405978,0.020649
0.039926753706,0.018829
0.042192101434,0.017837
0.038794079842,0.019612
0.038510911376,0.01942
0.0424752699,0.018711
0.045590123026,0.018032
0.048421807686,0.019286
0.050687155414,0.019074
0.039360416774,0.018416
0.041625764502,0.017722
0.043041606832,0.017429
0.040209922172,0.017142
0.041625764502,0.017581
0.038510911376,0.017868
0.048704976152,0.017858
0.0424752699,0.017704
0.045590123026,0.017521
0.043607943764,0.017351
0.041625764502,0.017204
0.042758438366,0.017074
0.04530695456,0.016961
0.118081250322,0.016868
0.133938684418,0.031294
0.272408064292,0.034795
0.118647587254,0.085249
0.082968360538,0.084003
0.067677263374,0.072102
0.056067356268,0.059117
0.054934682404,0.048433
0.047289133822,0.040242
0.074756475024,0.034082
0.063996073316,0.052641
0.0566336932,0.050946
0.051536660812,0.043895
0.050687155414,0.03718
0.049837650016,0.031833
0.048421807686,0.027765
0.056067356268,0.024673
0.058899040928,0.022203
0.062013894054,0.020343
0.057483198598,0.019084
0.056067356268,0.018152
0.052952503142,0.017509
0.059748546326,0.017024
0.071924790364,0.016627
0.074190138092,0.016332
0.081269349742,0.016103
0.086932719062,0.015924
0.05946537786,0.01578
0.063996073316,0.015662
0.087215887528,0.015561
0.175847617386,0.058113
0.111285207138,0.060773
0.166503058008,0.070918
0.182077323638,0.106016
0.193687230744,0.127155
0.31714868192,0.188081
0.178112965114,0.208508
0.141584233,0.173943
0.173582269658,0.150556
0.176130785852,0.187596
0.116382239526,0.186749
0.094295099178,0.15293
0.257116967128,0.119708
0.143283243796,0.190839
0.108170354012,0.184606
0.115249565662,0.150025
0.145548591524,0.144555
0.115249565662,0.127496
0.103922827022,0.103514
0.122045608846,0.081947
0.125160461972,0.065054
0.120629766516,0.052292
0.150645623912,0.043343
0.14300007533,0.099298
0.088631729858,0.097307
0.086649550596,0.080825
0.118647587254,0.064971
0.126859472768,0.071769
0.111568375604,0.063721
0.111002038672,0.062458
0.110152533274,0.05399
0.108736690944,0.044931
0.147813939252,0.053163
0.125160461972,0.052554
0.114966397196,0.056728
0.133938684418,0.079057
0.120063429584,0.094017
0.112984217934,0.082478
0.116665407992,0.067125
0.199350600064,0.054142
0.44174280696,0.124762
0.30015857396,0.336888
0.41342596036,0.351218
1.42716906864,0.311092
0.67394094908,0.856702
0.42758438366,0.830172
0.269859548098,0.661288
0.211810012568,0.529715
0.30015857396,0.491106
0.56067356268,0.466486
0.50403986948,0.693843
0.31714868192,0.707731
0.3256437359,0.637412
1.14116891798,0.871265
0.56067356268,1.306831
0.47855470754,1.145771
0.41625764502,0.925272
0.65978252578,0.925457
0.52102997744,0.980781
1.08170354012,1.123148
0.99392131566,1.510276
1.2600996737,1.667811
0.93728762246,1.851945
0.79853507412,1.410682
0.87499055994,1.382764
0.75605980422,1.347999
1.0477233242,1.37767
3.5112889784,1.373017
5.0687155414,3.858009
2.22853582742,3.409839
1.43566412262,2.393039
1.18364418788,2.171892
0.9769312077,1.663003
0.85516876732,1.265655
0.82968360538,1.10689
0.88348561392,1.270418
0.71641621898,1.162289
0.6937627417,0.976785
1.1893075572,0.907215
2.81469455204,1.934934
1.56592161698,2.088657
3.0299025862,1.69854
3.8510911376,2.307874
5.1819829278,2.44097
2.77221928214,2.787576
1.9963376853,2.541059
1.8122781824,2.101346
1.86324850628,2.51545
1.82360492104,2.114031
1.56592161698,1.939826
1.27992146632,1.795523
1.19497092652,1.457256
1.10152533274,1.376516
1.14400060264,1.215859
1.22328777312,1.704662
1.2600996737,2.343545
1.26859472768,3.171252
1.26859472768,3.167601
1.27992146632,2.77442
1.7698029125,2.098831
2.57116967128,1.962681
2.5909914639,1.675912
1.9538624154,1.529833
1.71883258862,1.261851
1.41017896068,1.52231
1.2034659805,1.828402
1.07037680148,1.489205
0.9769312077,1.188582
1.16948576458,1.012637
1.26576304302,2.23933
1.2034659805,2.147221
1.15815902594,1.879648
1.14966397196,1.532274
1.49229781582,1.706577
6.796043184,1.955205
7.8437665082,2.349339
4.9271313084,4.462763
3.398021592,3.621619
3.0582194328,2.766674
1.9255455688,3.080646
1.5149512931,2.555727
1.27142641234,1.98412
1.27142641234,1.548438
1.10152533274,2.157043
0.9627727844,1.841581
0.88348561392,1.485698
0.82685192072,1.221896
0.7787132815,1.038689
0.73057464228,0.899676
0.69659442636,0.788469
0.7645548582,0.747642
0.85233708266,1.193465
1.28275315098,1.186818
1.5857434096,2.638304
2.21720908878,3.320817
1.69334742668,3.246755
1.41584233,2.479889
1.25160461972,1.821999
1.11002038672,1.400134
0.98259457702,1.139759
0.95710941508,0.982722
0.9769312077,1.664617
1.19213924186,2.220263
2.07279317112,2.315166
2.50320923944,2.788443
2.00483273928,2.289524
1.42150569932,2.304712
1.36204032146,2.0166
1.21479271914,1.562284
1.13833723332,1.764236
1.00807973896,1.551563
0.92312919916,1.705269
0.85233708266,1.400206
0.80136675878,1.136329
0.73340632694,0.954791
0.69942611102,0.80475
0.66827757976,0.687477
0.62580230986,0.602301
0.58899040928,0.537368
0.54934682404,0.484985
0.52102997744,0.442094
0.50687155414,0.406429
0.51536660812,0.376276
0.51253492346,0.350379
0.46156459958,0.470037
0.44174280696,0.468302
0.43041606832,0.420067
0.42192101434,0.372762
0.48704976152,0.325522
0.61447557122,0.297976
0.71358453432,0.759917
0.6654458951,1.4722
0.50687155414,1.975561
0.47572302288,1.555417
0.45590123026,1.140109
0.41908932968,0.869966
0.3964358524,0.889934
0.37095069046,0.754058
0.37095069046,0.620197
0.3539605825,0.511894
0.34546552852,0.428009
0.33697047454,0.353538
0.31998036658,0.298018
0.30865362794,0.261426
0.30015857396,0.232439
0.29166351998,0.209262
0.28600015066,0.1904
0.272408064292,0.174803
0.267027863438,0.161703
0.54368345472,0.150525
0.63996073316,0.177117
0.48988144618,0.857113
0.41625764502,1.250182
0.37661405978,1.096053
0.45590123026,0.937327
0.52669334676,0.897932
0.55501019336,1.052976
0.45590123026,1.168771
0.44457449162,1.228236
0.41625764502,0.952034
0.37095069046,0.789096
0.3539605825,0.62567
0.32847542056,0.500151
0.30299025862,0.404803
0.29449520464,0.332359
0.272974401224,0.2745
0.253152608604,0.221964
0.237012006042,0.190665
0.23219814212,0.167234
0.22511893047,0.148838
0.22087140348,0.133926
0.211526844102,0.140963
0.265328852642,0.132184
0.275239748952,0.153931
0.242958543828,0.406282
0.21945556115,0.524512
0.21520803416,0.477265
0.1982179262,0.428075
0.183209997502,0.363914
0.176130785852,0.290705
0.1840595029,0.233038
0.178962470512,0.186181
0.17698029125,0.160583
0.182926829036,0.166152
0.161122857154,0.256607
0.197085252336,0.287242
0.154609982436,0.246215
0.152344634708,0.194677
0.159423846358,0.151752
0.153194140106,0.179662
0.141301064534,0.198726
0.155176319368,0.17219
0.28883183532,0.142712
0.30299025862,0.185815
0.193120893812,0.329526
0.17273276426,0.480371
0.150362455446,0.420578
0.142150569932,0.348045
0.135071358282,0.268628
0.130540662826,0.208469
0.12176244038,0.162594
0.136770369078,0.117963
0.34546552852,0.094144
0.258249640992,0.188678
0.3398021592,0.356271
0.251170429342,0.45404
0.19255455688,0.625712
0.164520878746,0.602904
0.157441667096,0.496343
0.147813939252,0.383654
0.132806010554,0.293922
0.127142641234,0.245543
0.116948576458,0.194734
0.108170354012,0.152618
0.10477233242,0.119099
0.102223816226,0.088557
0.10618817475,0.083097
0.113550554866,0.068959
0.080986181276,0.057101
0.075889148888,0.047714
0.076738654286,0.040652
0.073057464228,0.045663
0.064562410248,0.042105
0.067110926442,0.035758
0.063429736384,0.031126
0.06937627417,0.027681
0.052952503142,0.025043
0.050120818482,0.023005
0.051536660812,0.021409
0.055784187802,0.020145
0.051819829278,0.019131
0.05097032388,0.022632
0.046439628424,0.022479
0.044740617628,0.021148
0.050120818482,0.023195
0.050120818482,0.021676
0.050687155414,0.020307
0.049837650016,0.019209
0.054085177006,0.01835
0.047005965356,0.017722
0.042758438366,0.017207
0.037661405978,0.018975
0.039360416774,0.018822
0.03964358524,0.018117
0.0424752699,0.018316
0.047289133822,0.018435
0.034829721318,0.01823
0.024352488076,0.023113
0.026334667338,0.023269
0.020671298018,0.021978
0.02265347728,0.020605
0.027467341202,0.019463
0.02548516194,0.01857
0.02690100427,0.017882
0.020954466484,0.01734
0.02548516194,0.016858
0.017839613358,0.01632
0.022087140348,0.015837
0.03398021592,0.015438
0.032847542056,0.015132
0.035679226716,0.014883
0.035962395182,0.020414
0.048988144618,0.020207
0.088914898324,0.026005
0.063996073316,0.028832
0.042758438366,0.046872
0.040776259104,0.045553
0.031998036658,0.039511
0.024918825008,0.033746
0.023219814212,0.02915
0.02123763495,0.025649
0.02265347728,0.023013
0.024352488076,0.021025
0.027184172736,0.021337
0.026334667338,0.020693
0.028033678134,0.019885
0.027467341202,0.019209
0.033130710522,0.018681
0.018122781824,0.018255
0.203314958588,0.017931
0.12600996737,0.027847
0.161122857154,0.107832
0.33130710522,0.132811
0.152344634708,0.141548
0.098542626168,0.217391
0.062580230986,0.258931
0.057483198598,0.218348
0.043041606832,0.1709
0.043607943764,0.132252
0.049271313084,0.102861
0.04813863922,0.080851
0.045873291492,0.082694
0.04672279689,0.088371
0.044457449162,0.076849
0.04389111223,0.063096
0.054651513938,0.051535
0.046439628424,0.042607
0.044740617628,0.035873
0.045873291492,0.030743
0.063996073316,0.026234
0.053235671608,0.028988
0.079570338946,0.061522
0.060598051724,0.061836
0.066261421044,0.104621
0.061730725588,0.10978
0.30582194328,0.130344
0.268443705768,0.121331
0.136487200612,0.264165
0.083817865936,0.354069
0.065695084112,0.316339
0.057483198598,0.249348
0.06512874718,0.191515
0.048421807686,0.147033
0.051536660812,0.113652
0.052952503142,0.088728
