REGION,PVT,PVTto,VEGCLASSfrom,VEGCLASSto,ABBREVfrom,ABBREVto,STARTAGE,ENDAGE,RNDAGE,LAI,CARBON
1,3,3,4006220,4007220,DF:Sm2,DF:Mm2,66,95,69,8.000000,0.000000
1,3,3,4004100,4005210,DF:Yo,DF:Pm1,26,35,30,3.000000,0.000000
1,3,3,4109220,4109220,DFWF:Gm2,DFWF:Gm2,231,999,356,2.500000,0.000000
1,3,3,4108220,4109220,DFWF:Lm2,DFWF:Gm2,131,230,157,2.500000,0.000000
1,3,3,4107220,4008220,DFWF:Mm2,DF:Lm2,111,130,118,2.500000,0.000000
1,3,3,4107110,4108220,DFWF:Mo1,DFWF:Lm2,111,130,119,2.500000,0.000000
1,3,3,4209320,4209320,DG:Gc2,DG:Gc2,231,999,360,8.000000,0.000000
1,3,3,4207320,4358320,DG:Mc2,SFDF:Lc2,111,130,121,8.000000,0.000000
1,3,3,7057320,4358320,LP:Mc2,SFDF:Lc2,111,130,122,5.000000,0.000000
1,3,3,7055210,7056320,LP:Pm1,LP:Sc2,36,70,63,5.000000,0.000000
1,3,3,7056320,7057320,LP:Sc2,LP:Mc2,71,110,84,5.000000,0.000000
1,3,3,7054100,7055210,LP:Yo,LP:Pm1,26,35,30,3.000000,0.000000
1,3,3,6059320,6059320,MH:Gc2,MH:Gc2,301,999,436,7.000000,0.000000
1,3,3,6052000,6054100,MH:GF,MH:Yo,0,25,6,4.000000,0.000000
1,3,3,6058320,6059320,MH:Lc2,MH:Gc2,151,300,288,7.000000,0.000000
1,3,3,6057320,6058320,MH:Mc2,MH:Lc2,111,150,129,7.000000,0.000000
1,3,3,6055210,6056320,MH:Pm1,MH:Sc2,36,70,70,5.000000,0.000000
1,3,3,6056320,6057320,MH:Sc2,MH:Mc2,71,110,91,5.000000,0.000000
1,3,3,6054100,6055210,MH:Yo,MH:Pm1,26,35,27,4.000000,0.000000
1,3,3,4459320,4459320,WH:Gc2,WH:Gc2,251,999,393,7.000000,0.000000
1,5,5,4009320,4009320,DF:Gc2,DF:Gc2,139,999,282,8.000000,0.000000
1,5,5,4009220,4009220,DF:Gm2,DF:Gm2,139,999,283,8.000000,0.000000
1,5,5,4008320,4009320,DF:Lc2,DF:Gc2,79,138,104,8.000000,0.000000
1,5,5,4007320,4008320,DF:Mc2,DF:Lc2,59,78,65,8.000000,0.000000
1,5,5,4006220,4007320,DF:Sm2,DF:Mc2,39,58,46,8.000000,0.000000
1,5,5,6055210,4006210,MH:Pm1,DF:Sm1,19,38,27,5.000000,0.000000
1,5,5,4359320,4359320,SFDF:Gc2,SFDF:Gc2,139,999,288,7.000000,0.000000
1,5,5,4357320,4008320,SFDF:Mc2,DF:Lc2,59,78,69,7.000000,0.000000
1,6,6,2505310,2506310,Al:Pc1,Al:Sc1,26,50,27,4.000000,0.000000
1,6,6,2506310,3507320,Al:Sc1,DFal:Mc2,51,70,63,3.000000,0.000000
1,6,6,2503100,2504100,Al:SHo,Al:Yo,0,10,10,1.000000,0.000000
