REGION,PVT,VEGCLASS,ABBREV,STARTAGE,ENDAGE,RNDAGE,LAI,GAP_FRAC,CARBON,DEAD_FUEL,LIVE_FUEL,HEIGHT_M,DBH,FUEL_DEPTH,FINE_FUEL_FRAC,FRAC_1HR_LIVE,FRAC_100HR_LIVE,NEXT_PVT,NEXT_VEGCLASS,NEXT_ABBREV
1,6,4355210,SFDF:Pm1,26,50,36,7,0.3,0,0,0,0,0,0,0,0,0,6,4356220,SFDF:Sm2
1,6,4356320,SFDF:Sc2,51,70,57,7,0.3,0,0,0,0,0,0,0,0,0,6,4357320,SFDF:Mc2
1,6,4356220,SFDF:Sm2,51,70,58,7,0.3,0,0,0,0,0,0,0,0,0,6,4357220,SFDF:Mm2
1,6,4354100,SFDF:Yo,11,25,19,6,0.3,0,0,0,0,0,0,0,0,0,6,4355210,SFDF:Pm1
1,6,4459320,WH:Gc2,176,999,365,7,0.3,0,0,0,0,0,0,0,0,0,6,4459320,WH:Gc2
1,1,4009410,DF:G1p,131,999,321,8,0.3,0,0,0,0,0,0,0,0,0,1,4009410,DF:G1p
1,1,4009320,DF:Gc2,146,999,337,8,0.3,0,0,0,0,0,0,0,0,0,1,4009320,DF:Gc2
1,1,4002000,DF:GF,1,8,1,0.5,0.3,0,0,0,0,0,0,0,0,0,1,4004100,DF:Yo
1,1,4002100,DF:GFp,1,8,2,0.5,0.3,0,0,0,0,0,0,0,0,0,1,4004400,DF:Yop
1,1,4009220,DF:Gm2,131,180,175,8,0.3,0,0,0,0,0,0,0,0,0,1,4009220,DF:Gm2
1,1,4009110,DF:Go1,131,150,146,8,0.3,0,0,0,0,0,0,0,0,0,1,4009220,DF:Gm2
1,1,4008410,DF:L1p,86,130,102,8,0.3,0,0,0,0,0,0,0,0,0,1,4009110,DF:Go1
1,1,4008320,DF:Lc2,86,145,103,8,0.3,0,0,0,0,0,0,0,0,0,1,4009320,DF:Gc2
1,1,4008220,DF:Lm2,86,130,104,8,0.3,0,0,0,0,0,0,0,0,0,1,4009220,DF:Gm2
1,1,4008110,DF:Lo1,86,130,105,8,0.3,0,0,0,0,0,0,0,0,0,1,4009110,DF:Go1
1,1,4007410,DF:M1p,66,85,66,8,0.3,0,0,0,0,0,0,0,0,0,1,4008110,DF:Lo1
1,1,4007320,DF:Mc2,66,90,67,8,0.3,0,0,0,0,0,0,0,0,0,1,4008320,DF:Lc2
1,1,4007220,DF:Mm2,66,90,68,8,0.3,0,0,0,0,0,0,0,0,0,1,4008220,DF:Lm2
1,1,4007110,DF:Mo1,66,85,69,8,0.3,0,0,0,0,0,0,0,0,0,1,4008110,DF:Lo1
1,1,4005210,DF:Pm1,26,45,30,8,0.3,0,0,0,0,0,0,0,0,0,1,4006110,DF:So1
1,1,4006220,DF:Sm2,46,70,51,8,0.3,0,0,0,0,0,0,0,0,0,1,4007220,DF:Mm2
1,1,4006110,DF:So1,46,65,52,8,0.3,0,0,0,0,0,0,0,0,0,1,4007110,DF:Mo1
1,1,4004100,DF:Yo,9,25,12,3,0.3,0,0,0,0,0,0,0,0,0,1,4005210,DF:Pm1
1,1,4004400,DF:Yop,9,25,13,3,0.3,0,0,0,0,0,0,0,0,0,1,4005210,DF:Pm1
1,1,3752000,DO:GF,1,12,6,0.6,0.3,0,0,0,0,0,0,0,0,0,1,3754100,DO:Yo
1,1,3752100,DO:GFp,1,12,7,0.6,0.3,0,0,0,0,0,0,0,0,0,1,3754100,DO:Yo
1,1,3758320,DO:Lc2,111,135,122,8,0.3,0,0,0,0,0,0,0,0,0,1,3758320,DO:Lc2
1,1,3757320,DO:Mc2,81,110,83,8,0.3,0,0,0,0,0,0,0,0,0,1,3758320,DO:Lc2
1,1,3755210,DO:Pm1,31,55,44,8,0.3,0,0,0,0,0,0,0,0,0,1,3756320,DO:Sc2
1,1,3756320,DO:Sc2,56,80,70,8,0.3,0,0,0,0,0,0,0,0,0,1,3757320,DO:Mc2
1,1,3754100,DO:Yo,13,30,30,4,0.3,0,0,0,0,0,0,0,0,0,1,3755210,DO:Pm1
1,1,3002000,Oa:GF,1,5,2,0.3,0.3,0,0,0,0,0,0,0,0,0,1,3004100,Oa:Yo
1,1,3009110,Oa:Go1,191,500,408,6,0.3,0,0,0,0,0,0,0,0,0,1,3009110,Oa:Go1
