WATERRIGHTID,X,Y,PODID,POUID,PERMITCODE,PODRATE,USECODE,PRIORITYDOY,YEAR,BEGINDOY,ENDDOY,REACHCOMID,LENGTH_OR_COMID,SPECIAL,CERTIFICATE
102022,489815.65,4992321.9,45,11153,2,0.005,16,366,1908,1,366,23796867,3546.38,0,-99
102022,489992.26,4992196.03,44,11153,2,0.005,16,366,1908,1,366,23796867,3546.38,0,-99
102579,448770.6,4941416.43,46,11282,2,0.01,16,366,1908,1,366,23762937,5081.03,0,-99
102594,472097,4928056.3,47,11285,2,0.08,16,366,1908,1,366,23764819,5395.61,0,-99
91039,471105.78,4975051.76,48,8780,2,0.039,16,1,1909,1,365,23791457,2506.6,0,-99
172605,500451.94,4846094.35,49,14842,2,1.2,16,84,1909,1,365,23759376,4655.93,0,-99
172610,501116.61,4843413.26,51,14843,2,0.79,16,84,1909,1,365,23759378,2558.93,0,-99
172610,501199.29,4844130.33,50,14843,2,0.79,16,84,1909,1,365,23759376,4655.93,0,-99
90389,499543.34,5039327.31,52,8598,2,0.375,16,117,1909,1,365,23804940,3566.18,0,-99
106687,518071.62,4960441.53,55,11787,2,0.49,16,134,1909,1,365,23780475,1724.04,0,-99
106688,518071.62,4960441.53,56,11788,2,1.29,16,134,1909,1,365,23780475,1724.04,0,-99
121000,518071.62,4960441.53,58,13366,2,0.03,16,134,1909,1,365,23780475,1724.04,0,-99
121001,518071.62,4960441.53,59,13367,2,0.02,16,134,1909,1,365,23780475,1724.04,0,-99
120997,518071.62,4960441.53,57,13365,2,24.9,16,134,1909,121,273,23780475,1724.04,0,-99
181148,517969.17,4960489.68,61,15296,2,0.64,16,134,1909,121,273,23780475,1724.04,0,-99
53058,504539.6,5034886.42,62,3035,2,0.48,16,216,1909,1,365,23804878,2345.26,0,-99
53062,508808.56,4846334.51,63,3036,2,0.78,16,264,1909,1,365,23759606,2354.84,0,-99
53070,493405.85,4843997.06,64,3037,2,0.07,16,319,1909,1,365,23759884,3394.89,0,-99
53074,494844.39,5052420.63,66,3038,2,0.66,16,334,1909,1,365,23805208,5564.06,0,-99
53075,494844.74,5052421.02,67,3039,2,0.25,16,334,1909,60,273,23805208,5564.06,0,-99
59990,535937.96,4999321.56,68,3122,2,9.072,16,342,1909,1,365,23800844,1882.22,0,-99
26117,509150.94,4978350.59,69,1157,4,0.1782,16,365,1909,60,304,23801628,6724.89,0,-99
27202,508095.54,4951947.04,70,1820,4,0.3966,16,365,1909,60,304,23786401,5653.63,0,-99
52776,503386.82,5030608.14,72,3032,2,0.41,16,56,1910,1,365,23804872,1448.51,0,-99
52776,503455.56,5030624.94,71,3032,2,0.41,16,56,1910,1,365,23804872,1448.51,0,-99
53225,514785.09,5044643.44,73,3047,2,0.07,16,75,1910,1,365,23805212,8040.08,0,-99
53092,493511.22,4846418.31,74,3040,2,0.07,16,197,1910,1,365,23759296,1154.01,0,-99
53495,461107.53,4987848.84,75,3052,2,0.04,16,228,1910,1,365,23797507,3425.21,0,-99
53646,494974.81,4841162.17,76,3055,2,0.1,16,265,1910,1,365,23759918,2863.22,0,-99
