UGB_DH_ID,UGB_name,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030,pop2035,pop2040,pop2045,pop2050,pop2055,pop2060,pop2065,pop2070,pop2075,pop2080,pop2085,pop2090,pop2095,pop2100
1055,Dallas,15430.63546,15430.63546,15430.63546,15430.63546,15430.63546,15430.63546,15430.63546,15430.63546,15430.63546,15430.63546,15430.63546,15430.63546,15430.63546,16560.53995,18450.65246,20526.27704,22576.15883,24513.48496,26360.24897,28148.29683,29920.38139,31761.25328,33667.46794,35552.15954,37415.89811,39271.0597,41128.72519,42997.26074,44874.0815,46747.34267,48628.23746
1056,Silverton,9645.268977,9645.268977,9645.268977,9645.268977,9645.268977,9645.268977,9645.268977,9645.268977,9645.268977,9645.268977,9645.268977,9645.268977,9645.268977,10186.82736,10996.83856,11888.22861,12766.60938,13594.11347,14383.62966,15159.64651,15938.37518,16781.00245,17610.08204,18430.21874,19241.77579,20054.93085,20871.11109,21693.68773,22517.37491,23339.97083,24160.90462
1057,Salem/Keizer,231390.2726,231390.2726,231390.2726,231390.2726,231390.2726,231390.2726,231390.2726,231390.2726,231390.2726,231390.2726,231390.2726,231390.2726,231390.2726,244830.7227,265274.2119,287764.1282,309933.561,330829.4281,350763.2698,370310.0906,389887.4184,410940.7692,431817.1969,452466.804,472898.2858,493349.1567,513868.6264,534542.6302,555254.3523,575936.8081,596596.9058
1058,Scotts Mills,366.594225,366.594225,366.594225,366.594225,366.594225,366.594225,366.594225,366.594225,366.594225,366.594225,366.594225,366.594225,366.594225,387.174988,417.965746,451.848974,485.236811,516.688631,546.694321,576.184726,605.777283,637.794475,669.303976,700.473008,731.315421,762.219032,793.237602,824.499472,855.80402,887.067344,918.267408
1059,Mt. Angel,3451.990002,3451.990002,3451.990002,3451.990002,3451.990002,3451.990002,3451.990002,3451.990002,3451.990002,3451.990002,3451.990002,3451.990002,3451.990002,3645.81084,3935.709502,4254.733216,4569.100979,4865.260251,5147.823861,5425.556125,5704.258936,6005.830716,6302.55385,6596.076372,6886.528286,7177.552119,7469.658644,7764.05441,8058.847633,8353.250296,8647.058093
1060,Willamina,2049.852477,2049.852477,2049.852477,2049.852477,2049.852477,2049.852477,2049.852477,2049.852477,2049.852477,2049.852477,2049.852477,2049.852477,2049.852477,2187.250085,2424.56693,2689.59791,2949.214174,3190.976435,3416.68489,3631.923211,3843.96182,4075.806055,4310.714498,4541.825427,4769.407135,4995.721549,5222.43176,5451.018164,5683.428446,5915.042317,6146.517015
1061,Sheridan,6187.799449,6187.799449,6187.799449,6187.799449,6187.799449,6187.799449,6187.799449,6187.799449,6187.799449,6187.799449,6187.799449,6187.799449,6187.799449,6574.056811,7259.537344,8035.565454,8790.77253,9485.574155,10122.88834,10722.6062,11310.24418,11981.60242,12649.61022,13304.04941,13946.16194,14584.16197,15223.49852,15869.46827,16533.09083,17193.58341,17851.06846
1062,Gervais,2478.441137,2478.441137,2478.441137,2478.441137,2478.441137,2478.441137,2478.441137,2478.441137,2478.441137,2478.441137,2478.441137,2478.441137,2478.441137,2617.599576,2825.739451,3054.790374,3280.498442,3493.133277,3696.006772,3895.411482,4095.513021,4312.033899,4525.073572,4735.815288,4944.352384,5153.300104,5363.025169,5574.393851,5786.047897,5997.421531,6208.368066
1063,Amity,1620.99522,1620.99522,1620.99522,1620.99522,1620.99522,1620.99522,1620.99522,1620.99522,1620.99522,1620.99522,1620.99522,1620.99522,1620.99522,1722.18165,1901.754481,2105.047731,2302.88657,2484.901214,2651.856083,2808.961981,2962.903356,3138.776622,3313.772185,3485.21323,3653.425102,3820.55964,3988.044301,4157.266638,4331.113416,4504.140243,4676.3792
1064,Molalla,8459.212774,8459.212774,8459.212774,8459.212774,8459.212774,8459.212774,8459.212774,8459.212774,8459.212774,8459.212774,8459.212774,8459.212774,8459.212774,8893.158409,9668.248961,10506.06106,11317.70332,12048.40069,12709.69046,13324.47223,13927.21989,14523.1258,15220.67658,15901.39098,16566.30157,17239.89602,17915.78633,18600.24578,19293.03169,19988.83444,20681.82918
