COMMERCIAL EARNINGS (in millions of 2005 dollars),Benton,Clackamas,Columbia,Lane,Linn,Marion,Multnomah,Polk,Washington,Yamhill,Portland Metro
2068,5723.147,24207.76,1028.429,18050.296,3914.313,17987.612,66332.035,1797.437,46127.552,3640.731,136667.3458
2069,5796.992,24523.898,1040.132,18268.148,3959.624,18202.98,67067.06,1818.577,46778.692,3688.147,138369.6505
2070,5870.259,24837.476,1051.778,18484.829,4004.697,18416.963,67798.693,1839.599,47424.042,3735.211,140060.2104
2071,5942.847,25148.045,1063.36,18700.157,4049.493,18629.335,68526.389,1860.483,48062.599,3781.861,141737.0328
2072,6015.646,25459.631,1074.965,18916.045,4094.409,18842.363,69255.359,1881.429,48703.53,3828.648,143418.5199
2073,6088.654,25772.175,1086.591,19132.404,4139.425,19055.953,69985.611,1902.425,49346.524,3875.554,145104.3102
2074,6161.855,26085.556,1098.239,19349.177,4184.524,19270.012,70717.083,1923.462,49991.423,3922.579,146794.063
2075,6235.23,26399.702,1109.904,19566.325,4229.699,19484.498,71449.662,1944.536,50638.063,3969.713,148487.4273
2076,6308.764,26714.541,1121.586,19783.811,4274.942,19699.367,72183.235,1965.642,51286.277,4016.946,150184.0529
2077,6382.441,27030,1133.283,20001.595,4320.245,19914.578,72917.69,1986.778,51935.902,4064.266,151883.5922
2078,6456.243,27346.007,1144.992,20219.64,4365.601,20130.09,73652.92,2007.94,52586.775,4111.664,153585.7014
2079,6530.155,27662.492,1156.713,20437.91,4411.002,20345.862,74388.817,2029.123,53238.733,4159.13,155290.0416
2080,6604.16,27979.384,1168.442,20656.37,4456.442,20561.854,75125.277,2050.326,53891.619,4206.653,156996.2802
2081,6678.243,28296.617,1180.18,20874.985,4501.912,20778.028,75862.2,2071.543,54545.276,4254.224,158704.0927
2082,6752.389,28614.122,1191.923,21093.721,4547.407,20994.345,76599.489,2092.773,55199.553,4301.833,160413.1642
2083,6826.582,28931.835,1203.671,21312.548,4592.921,21210.77,77337.052,2114.011,55854.304,4349.472,162123.1912
2084,6900.809,29249.696,1215.421,21531.435,4638.446,21427.268,78074.8,2135.256,56509.387,4397.13,163833.8836
2085,6975.057,29567.644,1227.174,21750.355,4683.978,21643.808,78812.652,2156.504,57164.67,4444.801,165544.9664
2086,7049.312,29885.626,1238.926,21969.28,4729.51,21860.359,79550.53,2177.752,57820.026,4492.477,167256.1825
2087,7123.563,30203.589,1250.678,22188.188,4775.04,22076.893,80288.365,2198.999,58475.34,4540.149,168967.2943
2088,7197.8,30521.488,1262.428,22407.057,4820.561,22293.385,81026.094,2220.242,59130.505,4587.812,170678.0869
2089,7272.012,30839.28,1274.176,22625.868,4866.071,22509.814,81763.661,2241.479,59785.429,4635.46,172388.3701
2090,7346.193,31156.931,1285.919,22844.607,4911.565,22726.16,82501.021,2262.709,60440.03,4683.088,174097.9817
2091,7420.334,31474.411,1297.659,23063.261,4957.043,22942.409,83238.136,2283.931,61094.243,4730.692,175806.7905
2092,7494.432,31791.699,1309.394,23281.821,5002.501,23158.551,83974.981,2305.143,61748.018,4778.269,177514.6991
2093,7568.483,32108.781,1321.125,23500.283,5047.94,23374.579,84711.541,2326.346,62401.326,4825.817,179221.6479
2094,7642.486,32425.652,1332.85,23718.646,5093.358,23590.492,85447.811,2347.538,63054.155,4873.336,180927.6181
2095,7716.442,32742.317,1344.571,23936.915,5138.758,23806.293,86183.803,2368.722,63706.517,4920.826,182632.6362
2096,7790.354,33058.791,1356.288,24155.097,5184.14,24021.992,86919.54,2389.896,64358.447,4968.289,184336.7775
2097,7864.229,33375.102,1368.002,24373.208,5229.507,24237.606,87655.063,2411.064,65010.007,5015.73,186040.1711
2098,7938.076,33691.289,1379.712,24591.267,5274.864,24453.157,88390.427,2432.226,65661.288,5063.154,187743.0039
2099,8011.907,34007.407,1391.422,24809.299,5320.216,24668.676,89125.707,2453.385,66312.413,5110.568,189445.5259
2100,8085.738,34323.524,1403.132,25027.337,5365.569,24884.199,89860.995,2474.546,66963.537,5157.982,191148.0551
